,0,1,2,3,4,5
0,labels,area,perimeter,major axis,minor axis,eqv diameter
1,1,12057066,54735.7112,4944.8175,3674.3981,3918.1033
2,2,2220,236.2254,85772,40.4931,53.1657
3,3,1478,149.7401,58.4509,32.3893,43.3803
4,4,1262,136.1838,46123,35.7796,40.0853
5,5,1798,165397,61.1904,38.4644,47.8465
6,6,995,117.9411,43.0737,29.6965,35.5932
7,7,12768,479.8305,163786,104.6226,127.5019
8,8,6722,310.7351,101.5184,86.0766,92.5133
9,9,6694,322.5757,105.7522,83.2152,92.3205
10,10,6076,306066,93.1224,86.1361,87.9557
11,11,12826,436.5757,139.8589,118.4677,127.7911
12,12,4815,294.1665,106.6351,61.3767,78.2985
13,13,6510,314.1665,98.2614,86.1987,91.0428
14,14,7884,336.7351,101.4844,99.92,100.1909
15,15,1707,168.2254,49.7539,46463,46.62
16,16,707,111.2904,34.8355,28.1487,30003
17,17,30963,913.6367,322.2773,149.6843,198.5531
18,18,9774,383061,124.8502,101.1178,111.5556
19,19,6318,325.8061,97843,86.7009,89.6902
20,20,6264,305865,98.5396,82.4586,89.3061
21,21,5462,295.4214,102.8607,68.8796,83.3933
22,22,6483,312.6934,102.3497,81.7811,90.8538
23,23,8968,402.1076,134.8959,92.5767,106857
24,24,3330,231.6812,79.0351,54.9097,65.1144
25,25,4456,273.7229,80.0694,72.1751,75323
26,26,9821,407.7645,121.9863,106.7106,111.8235
27,27,4892,277.7645,93.5507,67.5869,78922
28,28,10996,430.3747,140.9827,104.0339,118.3239
29,29,13903,573.6295,193.0788,106.3988,133.0483
30,30,6932,324.6934,105.8933,85.1139,93.9473
31,31,7039,345.7645,111.3978,85.9624,94.6696
32,32,1017,136.4264,54.8896,24.0337,35.9845
33,33,875,119598,43.7116,25.9571,33.3779
34,34,527,104.5269,36.7671,20157,25.9036
35,35,2869,228.3087,88.7404,41.5569,60.4394
36,36,9454,385.6468,132.8669,92.7947,109.7142
37,37,3355,247196,72.9591,63564,65.3584
38,38,316,79598,27.8356,16.2836,20.0585
39,39,5693,314.0071,103.8994,75.2969,85.1384
40,40,4135,253664,92.2256,58.8533,72.5593
41,41,716,103.6985,32.9349,28.4099,30.1934
42,42,6422,327.8061,96.4709,88.2142,90.4254
43,43,8117,396.8772,117.4223,96.1374,101.6606
44,44,1478,162.3259,53.5764,36.6874,43.3803
45,45,14669,597.5706,227.8756,90.9034,136.6644
46,46,10783,418.6762,151.8143,93.0943,117.1723
47,47,7142,328.4335,102.0225,90.8669,95.3597
48,48,9089,369.6051,117.8197,100.8607,107.5754
49,49,15676,598.6417,201.2116,108.7842,141.2774
50,50,3080,223.6396,79.9791,51.7721,62.6225
51,51,5752,289865,94.4011,78.3195,85.5785
52,52,5381,322.0488,127.8354,57.8207,82.7726
53,53,27146,918.7666,239.9542,183.03,185.9122
54,54,10176,416.1909,132.4899,102.3796,113.8266
55,55,8689,400.86,123.0792,93.8785,105.1816
56,56,3603,256.5097,77.9607,61.8445,67731
57,57,1109,135.7401,45.8973,31.9634,37.5769
58,58,5547,301.6224,111.7822,64.2016,84.0396
59,59,8162,372.8183,118.3244,90.0202,101942
60,60,1267,135.6985,41.9015,39517,40.1646
61,61,13317,544.5757,191.1547,98.1148,130.2142
62,62,3474,229.0366,68.8192,67.1761,66.5074
63,63,5638,383.2142,105.0156,76.4098,84.7262
64,64,5133,317.3209,94631,71.7549,80.8427
65,65,1972,180.1249,70.2826,36.2647,50.1082
66,66,4335,311.0782,82.3073,78.1937,74.2933
67,67,1649,165.5391,61.6192,36.0993,45.8211
68,68,450,92.7696,33.1824,20.0797,23.9365
69,69,9114,364.2325,121.6352,96.8481,107.7233
70,70,1610,161.9828,63.2201,33.0306,45276
71,71,1289,137.9828,49.9439,33.4218,40.5118
72,72,735,112.0772,38.1778,25634,30.5914
73,73,4126,277.7168,85489,64.9651,72.4802
74,74,73,51.6569,27.6985,3.4676,9.6409
75,75,476,107.1899,35238,22.1024,24.6183
76,76,508,99.7401,37.2744,19.3593,25.4324
77,77,1135,132.0416,40.7489,36779,38.0148
78,78,3119,307.0721,78911,62.6839,63.0177
79,79,959,140.1188,46.5429,29298,34.9433
80,80,358,85.9056,35.7743,13.9931,21.3499
81,81,867,116.3259,38.5516,29.9213,33225
82,82,7696,375.5635,147.9221,68.8428,98.9891
83,83,10913,415.7056,142.5229,100.3827,117.8765
84,84,5112,272.2498,82.5861,79.8177,80.6771
85,85,3060,259.6812,84.7018,49.4382,62.4189
86,86,3003,269.7229,89.9937,50976,61.8348
87,87,6901,317.7645,99.5414,89106,93737
88,88,5206,288.3503,99.9046,69.6907,81.4155
89,89,3812,241.9239,78.2291,63514,69.6677
90,90,5197,301463,100.7365,69.8539,81.3451
91,91,5811,297.4214,105.9866,70.6292,86.0162
92,92,11852,512.6173,187.4847,89.2597,122.8431
93,93,6863,327.9483,106.5563,84.8717,93.4786
94,94,9986,388.1493,135.1795,95.4223,112.7589
95,95,916,129.7401,45.4221,26.7771,34151
96,96,8622,367.5219,124.2027,90.7654,104.7753
97,97,7973,354.1493,128.9897,79.3015,100.7548
98,98,7621,365.8478,138.6181,71.7074,98.5056
99,99,2845,214669,80.9003,45.8497,60.1861
100,100,7633,336.9777,114.3871,85.9904,98.5831
101,101,2270,204.7107,82.1645,36564,53.7611
102,102,5297,283.0955,89.1788,77538,82124
103,103,3957,242267,79.5372,65.1487,70.9803
104,104,5177,294.5513,95.5601,74.0178,81.1884
105,105,10136,401.9066,139419,94.2427,113.6026
106,106,4903,282.9533,106.9427,59.1668,79.0107
107,107,6779,321.5635,115218,76.8498,92.9047
108,108,5916,346.0071,116.8069,71.1186,86.7899
109,109,5167,287.0955,92.0564,75.0743,81.11
110,110,1353,155.9828,59.5833,30.0878,41.5053
111,111,10503,400.5757,133488,101.5679,115641
112,112,8575,400.9777,150.1284,77.1756,104.4894
113,113,4612,287.7645,114.1357,52.4553,76.6302
114,114,1836,169.1543,63.4918,37.4577,48.3494
115,115,258,76.5919,30.3521,12.8337,18.1245
116,116,9994,461262,149.6785,97.3404,112.8041
117,117,90,49864,25849,4.6462,10.7047
118,118,1578,149.0538,50.5544,40.6344,44.8238
119,119,9339,404.0071,157.1293,77.1945,109.0449
120,120,16199,575.0437,217.6433,100.5171,143.6148
121,121,6727,329.4214,110.4591,82.4529,92.5477
122,122,3212,214.6518,67.1103,62.9289,63.9503
123,123,1662,152.2254,46.8956,45.6881,46.0013
124,124,9313,428.4924,132.0956,97.3295,108893
125,125,6805,331.3209,105.0445,84.8019,93.0827
126,126,870,129.0122,49.2608,24.4311,33.2824
127,127,6177,297.9655,92.8486,86.66,88.6837
128,128,2604,261.8,102.1811,38.7618,57.5805
129,129,2505,235.7645,88.8395,39.8484,56.4753
130,130,755,114.5269,35.2108,28.8595,31.0048
131,131,8594,411.8478,124.9713,97.5361,104.6051
132,132,8157,356.4335,108.9923,98.8075,101.9108
133,133,11728,414.6762,130.7852,115.0895,122.1988
134,134,6258,349.2031,114.0272,78.3268,89.2633
135,135,8713,366.6762,120.7077,93.9964,105.3268
136,136,21726,813.8255,203.1576,179.6732,166.3202
137,137,5851,299.0366,96.8065,77.6033,86.3118
138,138,9325,400.4752,137.3738,93.5164,108.9631
139,139,19185,681.6539,195.1114,133.9945,156.2917
140,140,826,108.1838,35.6632,29.8994,32.4299
141,141,2086,193.7817,67.8672,41.5475,51.5362
142,142,6703,316.5097,97.6478,89.3245,92.3825
143,143,2568,200.6102,70.6478,47.6501,57.1811
144,144,8820,369.6051,124.8781,92.8132,105.9716
145,145,3110,227.1371,75.3021,56.9255,62.9267
146,146,1253,135.4975,49471,32.9517,39.9421
147,147,8158,406.5584,170.4738,62.0306,101.9171
148,148,3213,229196,80.2159,53.4331,63.9603
149,149,2740,203.2376,66.4991,53.7896,59065
150,150,941,114.8701,40.3082,30192,34.6138
151,151,3152,273.2203,89.1344,56.9327,63.3502
